#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
W_L_550;http://en.wikipedia.org/wiki/Raoul_I,_Count_of_Vermandois;;;;;;;;;;;;;x
W_L_7905;http://en.wikipedia.org/wiki/Frederick_V,_Duke_of_Swabia;;;;;;;;;;;;;x
W_L_91127;http://en.wikipedia.org/wiki/El%C3%A9onore_of_Blois;;;;;;;;;;;;;x
W_L_204507;http://en.wikipedia.org/wiki/William_IX,_Count_of_Poitiers;;;;;;;;;;;;;x
W_L_204508;http://en.wikipedia.org/wiki/Henry_the_Young_King;;;;;;;;;;;;;x
W_L_204509;http://en.wikipedia.org/wiki/Matilda_of_England,_Duchess_of_Saxony;;;;;;;;;;;;;x
W_L_204511;http://en.wikipedia.org/wiki/Geoffrey_II,_Duke_of_Brittany;;;;;;;;;;;;;x
W_L_204512;http://en.wikipedia.org/wiki/Eleanor_of_England,_Queen_of_Castile;;;;;;;;;;;;;x
W_L_204513;http://en.wikipedia.org/wiki/Joan_of_England,_Queen_of_Sicily;;;;;;;;;;;;;x
W_L_204516;http://en.wikipedia.org/wiki/Geoffrey_(archbishop_of_York);;;;;;;;;;;;;x
W_L_212500;http://en.wikipedia.org/wiki/Frederick_VI,_Duke_of_Swabia;;;;;;;;;;;;;x
W_L_212591;http://en.wikipedia.org/wiki/Philip_of_Alsace;;;;;;;;;;;;;x
