#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;
west_african;West African;West African;West-Afrikanisch;West African;West African;;;;;;;x;;;;;
pommeranian;Wend;Wende;Wendisch;Wend;Wend;;;;;;;x;;;;;
bohemian;Czech;Tchèque;Tschechisch;Czech;Czech;;;;;;;x;;;;;
nubian;Nubian;Nubien;Nubisch;Nubian;Nubian;;;;;;;x;;;;;
somali;Somali;Somali;Somalisch;Somali;Somali;;;;;;;x;;;;;
cornish;Cornish;Cornouaillais;Kornisch;Cornish;Cornish;;;;;;;x;;;;;
judaism_group;Jewish;Juif;Judentum;;Jewish;;;;;;;;;x;;;
judaism;Jewish;Juif;Jüdisch;;Jewish;;;;;;;;;x;;;
baron_mongol;Taishi;Taishi;Taishi;;Taishi mongol;;;;;;;;;x
barony_of_mongol;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x
count_mongol;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
county_of_mongol;Chiefdom of;Chefferie de;Häuptlingdom von;;Cacicazgo de;;;;;;;;;x
duke_mongol;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
duke_female_mongol;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
duchy_of_norse_pagan;Jarldom of;Jarldom of;Jarldom of;;Jarldom of;;;;;;;;;x
county_of_pagan_group;Chiefdom of;Chefferie de;Häuptlingdom von;;Cacicazgo de;;;;;;;;;x
duchy_of_pagan_group;High Chiefdom of;Grande chefferie de;Großhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x
duchy_of_mongol;High Chiefdom of;Grande chefferie de;Großhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x
duke_pagan_group;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
duke_norse_pagan;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;x
count_pagan_group;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
baron_pagan_group;Hetman;Hetman;Hetman;;Hetman;;;;;;;;;x
baron_norse_pagan;Lord;Seigneur;Fürst;;Señor;;;;;;;;;x
empire_of_turkish;Empire of;Empire de;Reich von;Empire of;Empire of;;;;;;;x;;;;;
baron_turkish;Timariot;Timariote;Timariot;;Timariots;;;;;;;;;x
barony_of_turkish;Timar of;Timar de;Timar von;;Timariot de;;;;;;;;;x
count_turkish;Bey;Bey;Bey;;Gobernador turco;;;;;;;;;x
county_of_turkish;Beylik of;Beylik de;Beylik von;;Beylicato de;;;;;;;;;x
duke_turkish;Beylerbey;Beylerbey;Beylerbey;;Gobernador de gobernadores;;;;;;;;;x
duchy_of_turkish;Beylerbeylik of;Beylerbeylik de;Beylerbeylik von;;Beylicato de Beylicatos de;;;;;;;;;x
emperor_altaic;Khagan;Khagan;Khagan;;Gran Kan;;;;;;;;;x
emperor_female_altaic;Khatun;Khatoun;Khatun;;Khatun;;;;;;;;;x
empire_of_altaic;Khaganate of;Khaganat de;Großkhanat von;;Kaganato de;;;;;;;;;x
king_altaic;Khan;Khan;Khan;;Kan;;;;;;;;;x
king_female_altaic;Khanum;Khanoum;Khanum;;Khanum;;;;;;;;;x
kingdom_of_altaic;Khanate of;Khanat de;Khanat von;;Kanato de;;;;;;;;;x
emperor_german;Kaiser;Kaiser;Kaiser;;Káiser;;;;;;;;;x
emperor_female_german;Kaiserin;Kaiserin;Kaiserin;;Emperatriz;;;;;;;;;x
duke_greek;Doux;Doux;Doux;;Duque;;;;;;;;;x
king_greek;Despot;Despote;Despot;;Déspota;;;;;;;;;x
emperor_greek;Basileus;Basileus;Basileus;;Basileus;;;;;;;;;x
